
Fri, 03 Jun 2016 17:18:50

{u'y': -18.0, u'x': 260.81, u'z': 95.69, u't': 1464967134569}
{u'y': -18.12, u'x': 258.88, u'z': 94.12, u't': 1464967134625}
{u'y': -14.88, u'x': 252.81, u'z': 97.37, u't': 1464967134680}
{u'y': -15.25, u'x': 246.25, u'z': 99.62, u't': 1464967134738}
{u'y': -13.38, u'x': 248.25, u'z': 97.19, u't': 1464967134793}
{u'y': -13.25, u'x': 251.38, u'z': 94.87, u't': 1464967134849}
{u'y': -11.88, u'x': 254.0, u'z': 95.25, u't': 1464967134904}
{u'y': -10.44, u'x': 258.19, u'z': 96.19, u't': 1464967134958}
{u'y': -10.38, u'x': 263.0, u'z': 96.44, u't': 1464967135013}
{u'y': -10.25, u'x': 271.63, u'z': 96.56, u't': 1464967135068}
{u'y': -9.38, u'x': 279.5, u'z': 96.56, u't': 1464967135124}
{u'y': -9.31, u'x': 285.81, u'z': 95.62, u't': 1464967135180}
{u'y': -9.81, u'x': 288.44, u'z': 95.12, u't': 1464967135236}
{u'y': -10.5, u'x': 290.88, u'z': 94.56, u't': 1464967135292}
{u'y': -11.75, u'x': 292.88, u'z': 94.62, u't': 1464967135348}
{u'y': -12.69, u'x': 294.38, u'z': 95.37, u't': 1464967135402}
{u'y': -13.75, u'x': 295.88, u'z': 96.31, u't': 1464967135457}
{u'y': -15.38, u'x': 297.19, u'z': 96.87, u't': 1464967135512}
{u'y': -16.69, u'x': 297.5, u'z': 97.37, u't': 1464967135567}
{u'y': -17.75, u'x': 297.38, u'z': 97.56, u't': 1464967135622}
{u'y': -19.12, u'x': 295.25, u'z': 96.25, u't': 1464967135678}
{u'y': -21.06, u'x': 291.25, u'z': 95.5, u't': 1464967135734}
{u'y': -21.56, u'x': 289.44, u'z': 90.94, u't': 1464967135790}
{u'y': -19.69, u'x': 291.38, u'z': 87.12, u't': 1464967135845}
{u'y': -20.56, u'x': 287.81, u'z': 85.75, u't': 1464967135902}
{u'y': -19.75, u'x': 285.5, u'z': 85.62, u't': 1464967135957}
{u'y': -19.44, u'x': 280.25, u'z': 84.94, u't': 1464967136012}
{u'y': -19.87, u'x': 274.31, u'z': 84.37, u't': 1464967136067}
{u'y': -19.12, u'x': 269.81, u'z': 83.81, u't': 1464967136121}
{u'y': -17.81, u'x': 267.56, u'z': 82.12, u't': 1464967136176}
{u'y': -15.56, u'x': 265.31, u'z': 80.81, u't': 1464967136232}
{u'y': -14.44, u'x': 261.88, u'z': 78.44, u't': 1464967136288}
{u'y': -13.25, u'x': 257.25, u'z': 76.5, u't': 1464967136344}
{u'y': -11.56, u'x': 253.56, u'z': 76.87, u't': 1464967136401}
{u'y': -10.25, u'x': 250.75, u'z': 77.5, u't': 1464967136456}
{u'y': -9.0, u'x': 248.25, u'z': 77.0, u't': 1464967136511}
{u'y': -8.0, u'x': 245.69, u'z': 78.56, u't': 1464967136565}
{u'y': -8.19, u'x': 243.63, u'z': 80.94, u't': 1464967136620}
{u'y': -8.06, u'x': 242.56, u'z': 81.81, u't': 1464967136675}
{u'y': -7.63, u'x': 241.88, u'z': 80.69, u't': 1464967136730}
{u'y': -6.44, u'x': 243.13, u'z': 79.37, u't': 1464967136786}
{u'y': -5.88, u'x': 246.0, u'z': 79.44, u't': 1464967136842}
{u'y': -5.44, u'x': 250.19, u'z': 80.06, u't': 1464967136897}
{u'y': -4.5, u'x': 255.75, u'z': 80.62, u't': 1464967136953}
{u'y': -3.81, u'x': 259.56, u'z': 80.87, u't': 1464967137008}
{u'y': -3.0, u'x': 263.88, u'z': 80.62, u't': 1464967137063}
{u'y': -2.94, u'x': 267.06, u'z': 82.0, u't': 1464967137118}
{u'y': -2.88, u'x': 269.94, u'z': 81.37, u't': 1464967137173}
{u'y': -3.0, u'x': 273.69, u'z': 81.25, u't': 1464967137228}
{u'y': -2.69, u'x': 278.75, u'z': 81.31, u't': 1464967137285}
{u'y': -3.06, u'x': 281.44, u'z': 80.75, u't': 1464967137339}
{u'y': -4.44, u'x': 282.5, u'z': 80.62, u't': 1464967137395}
{u'y': -6.13, u'x': 282.75, u'z': 80.5, u't': 1464967137451}
{u'y': -7.5, u'x': 284.31, u'z': 80.56, u't': 1464967137507}
{u'y': -8.13, u'x': 286.56, u'z': 81.06, u't': 1464967137562}
{u'y': -8.19, u'x': 289.63, u'z': 82.25, u't': 1464967137617}
{u'y': -8.25, u'x': 289.69, u'z': 85.94, u't': 1464967137672}
{u'y': -8.56, u'x': 289.06, u'z': 86.56, u't': 1464967137727}
{u'y': -9.06, u'x': 287.88, u'z': 86.0, u't': 1464967137781}
{u'y': -10.13, u'x': 285.25, u'z': 85.75, u't': 1464967137837}
{u'y': -10.88, u'x': 282.81, u'z': 86.12, u't': 1464967137893}
{u'y': -11.31, u'x': 280.0, u'z': 86.5, u't': 1464967137949}
{u'y': -11.75, u'x': 275.88, u'z': 86.37, u't': 1464967138006}
{u'y': -12.38, u'x': 271.31, u'z': 86.12, u't': 1464967138061}
{u'y': -12.88, u'x': 266.63, u'z': 85.37, u't': 1464967138116}
{u'y': -14.19, u'x': 260.25, u'z': 84.12, u't': 1464967138171}
{u'y': -14.69, u'x': 256.75, u'z': 82.5, u't': 1464967138225}
{u'y': -14.13, u'x': 254.06, u'z': 80.69, u't': 1464967138280}
{u'y': -14.13, u'x': 249.88, u'z': 78.87, u't': 1464967138337}
{u'y': -14.31, u'x': 245.56, u'z': 78.31, u't': 1464967138392}
{u'y': -14.31, u'x': 241.88, u'z': 78.44, u't': 1464967138449}
{u'y': -14.19, u'x': 239.56, u'z': 79.19, u't': 1464967138505}
{u'y': -14.25, u'x': 237.5, u'z': 80.81, u't': 1464967138561}
{u'y': -14.38, u'x': 236.5, u'z': 83.06, u't': 1464967138615}
{u'y': -14.75, u'x': 237.19, u'z': 84.31, u't': 1464967138670}
{u'y': -14.88, u'x': 239.13, u'z': 85.19, u't': 1464967138725}
